entry_ts,exit_ts,side,setup,entry,risk_price,r_1x
2023-07-03 12:30:00+00:00,2023-07-03 14:00:00+00:00,1,NY,1914.745,4.82,2.79253
2023-07-03 16:15:00+00:00,2023-07-03 17:00:00+00:00,1,NY,1925.76,4.701,-1.04254
2023-07-03 17:15:00+00:00,2023-07-06 12:15:00+00:00,1,NY,1921.745,10.3157,-1.01939
2023-07-06 12:30:00+00:00,2023-07-07 12:30:00+00:00,-1,NY,1910.495,11.3584,-1.01761
2023-07-07 13:45:00+00:00,2023-07-10 12:45:00+00:00,1,FVG,1925.765,11.7738,-1.01699
2023-07-10 13:00:00+00:00,2023-07-10 13:00:00+00:00,-1,FVG,1913.8,3.2436,-1.06166
2023-07-10 13:30:00+00:00,2023-07-11 05:00:00+00:00,1,FVG,1921.18,3.847,2.2706
2023-07-12 13:00:00+00:00,2023-07-18 11:15:00+00:00,1,FVG,1943.47,10.1264,2.40594
2023-07-18 12:30:00+00:00,2023-07-20 14:30:00+00:00,1,NY,1967.455,7.0717,-0.02828
2023-07-24 09:30:00+00:00,2023-07-24 14:30:00+00:00,1,FVG,1964.885,7.1714,-1.02789
2023-07-25 12:45:00+00:00,2023-07-25 15:00:00+00:00,-1,FVG,1958.055,5.9505,-1.03361
2023-07-26 12:30:00+00:00,2023-07-26 13:15:00+00:00,1,NY,1973.895,4.3402,-1.04608
2023-07-26 15:15:00+00:00,2023-07-27 12:30:00+00:00,1,NY,1971.205,7.5056,-1.02665
2023-07-27 13:00:00+00:00,2023-07-27 13:30:00+00:00,-1,FVG,1960.085,4.9345,2.3318
2023-07-27 14:00:00+00:00,2023-07-28 03:00:00+00:00,-1,FVG,1945.14,7.3761,-1.02711
2023-07-31 12:45:00+00:00,2023-07-31 13:45:00+00:00,1,FVG,1965.165,3.1373,2.2466
2023-07-31 14:00:00+00:00,2023-07-31 14:15:00+00:00,1,FVG,1971.85,4.2734,-1.0468
2023-08-01 12:30:00+00:00,2023-08-03 07:00:00+00:00,-1,NY,1951.065,6.907,2.83495
2023-08-03 12:30:00+00:00,2023-08-03 15:15:00+00:00,-1,NY,1931.105,7.5953,-1.02633
2023-08-03 16:00:00+00:00,2023-08-04 12:30:00+00:00,-1,NY,1932.875,5.9889,-1.0334
2023-08-07 14:15:00+00:00,2023-08-07 23:00:00+00:00,-1,FVG,1935.28,2.6548,-1.07533
2023-08-09 12:30:00+00:00,2023-08-09 12:30:00+00:00,-1,NY,1923.505,2.2093,-1.09053
2023-08-09 12:45:00+00:00,2023-08-09 14:00:00+00:00,-1,NY,1923.915,2.5179,-1.07943
2023-08-09 14:15:00+00:00,2023-08-09 14:15:00+00:00,-1,NY,1924.99,1.7091,-1.11702
2023-08-10 14:30:00+00:00,2023-08-23 13:45:00+00:00,-1,FVG,1916.945,13.5929,-0.01471
2023-08-23 14:00:00+00:00,2023-08-24 12:30:00+00:00,1,NY,1918.33,5.1595,-1.03876
2023-08-24 14:15:00+00:00,2023-08-25 14:00:00+00:00,1,FVG,1919.795,8.1718,-1.02447
2023-08-28 13:00:00+00:00,2023-08-28 13:30:00+00:00,1,FVG,1917.37,3.6807,-1.05434
2023-08-29 14:15:00+00:00,2023-08-30 12:00:00+00:00,1,FVG,1930.65,3.8238,2.36989
2023-08-30 13:00:00+00:00,2023-08-30 20:30:00+00:00,1,FVG,1945.415,2.7057,-1.07392
2023-09-01 13:00:00+00:00,2023-09-01 13:15:00+00:00,1,FVG,1950.215,2.8377,-1.07048
2023-09-05 14:15:00+00:00,2023-09-14 12:30:00+00:00,-1,FVG,1926.0,9.1091,2.39736
2023-09-14 13:00:00+00:00,2023-09-14 15:00:00+00:00,-1,FVG,1904.275,6.9894,-1.02861
2023-09-15 12:45:00+00:00,2023-09-15 13:00:00+00:00,-1,NY,1917.25,2.1661,-1.09233
2023-09-15 13:30:00+00:00,2023-09-15 15:30:00+00:00,1,FVG,1924.98,3.0346,-0.06591
2023-09-18 13:30:00+00:00,2023-09-18 13:30:00+00:00,1,FVG,1927.975,2.9591,-1.06759
2023-09-20 14:00:00+00:00,2023-09-20 18:00:00+00:00,1,FVG,1940.805,3.0289,-0.06603
2023-09-21 12:30:00+00:00,2023-09-21 13:30:00+00:00,-1,NY,1917.99,2.6157,-0.07646
2023-09-21 14:15:00+00:00,2023-09-22 07:15:00+00:00,-1,NY,1920.26,6.2134,-1.03219
2023-09-25 12:30:00+00:00,2023-09-25 14:15:00+00:00,1,NY,1924.725,3.7983,-1.05265
2023-09-26 12:45:00+00:00,2023-09-27 09:30:00+00:00,-1,FVG,1908.255,5.6159,2.30546
2023-09-27 12:30:00+00:00,2023-09-27 13:30:00+00:00,-1,FVG,1891.095,2.2336,2.12056
2023-09-27 14:00:00+00:00,2023-09-27 15:15:00+00:00,-1,FVG,1887.735,3.2457,2.21732
2023-09-28 13:00:00+00:00,2023-09-28 15:00:00+00:00,-1,FVG,1872.27,5.1885,2.3063
2023-09-29 14:00:00+00:00,2023-09-29 14:00:00+00:00,-1,FVG,1870.43,3.5489,2.23653
2023-09-29 14:30:00+00:00,2023-10-02 23:00:00+00:00,-1,FVG,1859.235,14.8367,2.44406
2023-10-02 23:45:00+00:00,2023-10-02 23:45:00+00:00,-1,NY,1824.325,2.475,-1.08081
2023-10-03 00:00:00+00:00,2023-10-03 02:15:00+00:00,-1,NY,1824.725,2.7305,2.6411
2023-10-03 02:45:00+00:00,2023-10-03 03:45:00+00:00,-1,NY,1817.11,3.5141,-1.05691
2023-10-04 13:45:00+00:00,2023-10-06 13:15:00+00:00,-1,FVG,1822.805,8.129,-0.0246
2023-10-13 09:45:00+00:00,2023-10-13 11:30:00+00:00,1,FVG,1887.12,3.1246,2.20637
