entry_ts,exit_ts,side,setup,entry,risk_price,allowed_side,window,R_1x,R_1x_chk,R_3x,R_5x
2019-06-20 12:30:00+00:00,2019-06-21 01:45:00+00:00,1,NY,1385.914,6.3377,1.0,selection,2.87756,2.87756,2.7513312419331934,2.6251024838663866
2019-06-25 13:30:00+00:00,2019-06-25 13:30:00+00:00,1,FVG,1429.67,1.8353,1.0,selection,2.10687,2.10687,1.6709739612052523,1.2350779224105048
2019-06-26 12:30:00+00:00,2019-06-27 06:45:00+00:00,1,NY,1409.938,8.2605,1.0,selection,-1.02421,-1.02421,-1.1210564378669572,-1.2179028757339145
2019-06-27 10:15:00+00:00,2019-06-27 12:45:00+00:00,1,FVG,1404.824,3.6188,1.0,selection,-1.05527,-1.05527,-1.2763377572676025,-1.497405514535205
2019-07-03 14:30:00+00:00,2019-07-04 05:30:00+00:00,1,FVG,1420.397,5.6863,1.0,selection,-1.03517,-1.03517,-1.1758590244974763,-1.3165480489949526
2019-07-10 13:00:00+00:00,2019-07-10 13:45:00+00:00,1,FVG,1410.398,3.8514,1.0,selection,-1.05193,-1.05193,-1.259646674456042,-1.4673633489120839
2019-07-12 13:45:00+00:00,2019-07-15 02:30:00+00:00,1,FVG,1409.72,5.5865,1.0,selection,-0.0358,-0.0358,-0.17900236283898685,-0.3222047256779737
2019-07-15 14:00:00+00:00,2019-07-15 14:15:00+00:00,1,FVG,1414.036,3.9714,1.0,selection,-1.05036,-1.05036,-1.2518002981316412,-1.4532405962632824
2019-07-17 13:30:00+00:00,2019-07-17 14:15:00+00:00,1,FVG,1410.235,2.63,1.0,selection,2.09259,2.09259,1.7884074904942966,1.484224980988593
2019-07-19 10:00:00+00:00,2019-07-19 11:15:00+00:00,1,FVG,1440.011,3.5714,1.0,selection,-1.056,-1.056,-1.2800017920143363,-1.5040035840286723
2019-07-19 14:00:00+00:00,2019-07-19 14:00:00+00:00,1,FVG,1441.165,4.9518,1.0,selection,-1.04039,-1.04039,-1.2019474134658104,-1.3635048269316208
2019-07-22 12:30:00+00:00,2019-07-22 14:30:00+00:00,1,NY,1427.138,2.586,1.0,selection,-1.07734,-1.07734,-1.3866980819798918,-1.6960561639597835
2019-07-22 14:45:00+00:00,2019-07-22 19:45:00+00:00,1,NY,1426.954,2.2198,1.0,selection,-1.0901,-1.0901,-1.4504928281827192,-1.8108856563654383
2019-07-29 22:15:00+00:00,2019-07-30 01:00:00+00:00,1,NY,1425.812,2.1339,1.0,selection,-1.09372,-1.09372,-1.468620417076714,-1.843520834153428
2019-07-30 13:30:00+00:00,2019-07-30 14:00:00+00:00,1,FVG,1428.979,2.3434,1.0,selection,-1.08535,-1.08535,-1.4267343133907997,-1.7681186267815994
2019-08-02 14:00:00+00:00,2019-08-05 13:00:00+00:00,1,FVG,1440.768,9.4026,1.0,selection,2.42513,2.42513,2.3400471505753724,2.2549643011507454
2019-08-05 13:15:00+00:00,2019-08-05 15:00:00+00:00,1,NY,1463.304,7.9208,1.0,selection,-1.02525,-1.02525,-1.126249899000101,-1.227249798000202
2019-08-05 15:30:00+00:00,2019-08-05 19:30:00+00:00,1,NY,1460.59,5.3409,1.0,selection,-0.03745,-0.03745,-0.18723748899998127,-0.3370249779999625
2019-08-05 20:15:00+00:00,2019-08-07 11:15:00+00:00,1,NY,1462.74,9.9424,1.0,selection,2.88172,2.88172,2.8012565304151917,2.720793060830383
2019-08-07 14:00:00+00:00,2019-08-07 14:00:00+00:00,1,FVG,1508.304,6.0111,1.0,selection,-1.03327,-1.03327,-1.166357122157342,-1.2994442443146843
2019-08-12 09:15:00+00:00,2019-08-12 18:30:00+00:00,1,FVG,1502.992,4.5766,1.0,selection,2.33394,2.33394,2.159137745050911,1.9843354901018224
2019-08-13 09:30:00+00:00,2019-08-13 10:45:00+00:00,1,FVG,1527.278,3.5535,1.0,selection,-0.05628,-0.05628,-0.281410153369917,-0.506540306739834
2019-08-14 10:30:00+00:00,2019-08-14 11:30:00+00:00,1,FVG,1507.55,3.276,1.0,selection,2.17719,2.17719,1.9329897557997557,1.6887895115995115
2019-08-19 14:15:00+00:00,2019-08-19 22:45:00+00:00,1,NY,1501.817,8.6704,1.0,selection,-1.02307,-1.02307,-1.1153379461155193,-1.2076058922310389
2019-08-23 12:30:00+00:00,2019-08-23 14:00:00+00:00,1,FVG,1503.33,2.639,1.0,selection,-0.07579,-0.07579,-0.37893513073133767,-0.6820802614626753
2019-08-23 14:15:00+00:00,2019-08-25 22:00:00+00:00,1,NY,1503.976,9.3542,1.0,selection,2.85974,2.85974,2.774216919458639,2.6886938389172776
2019-08-27 14:00:00+00:00,2019-08-27 15:15:00+00:00,1,FVG,1533.172,3.7145,1.0,selection,2.21625,2.21625,2.0008778099340425,1.7855056198680845
2019-08-29 13:15:00+00:00,2019-08-29 16:15:00+00:00,1,FVG,1542.566,8.935,1.0,selection,-1.02238,-1.02238,-1.1119155344152212,-1.201451068830442
2019-08-30 12:30:00+00:00,2019-08-30 17:00:00+00:00,1,NY,1527.244,5.3678,1.0,selection,-1.03726,-1.03726,-1.1862968493610047,-1.335333698722009
2019-09-02 14:00:00+00:00,2019-09-02 14:00:00+00:00,1,FVG,1527.736,2.1937,1.0,selection,-1.09117,-1.09117,-1.4558506764826549,-1.8205313529653098
2019-09-03 12:30:00+00:00,2019-09-03 12:45:00+00:00,1,NY,1534.246,2.662,1.0,selection,-1.07513,-1.07513,-1.3756559203606311,-1.676181840721262
2019-09-03 13:00:00+00:00,2019-09-03 14:00:00+00:00,1,NY,1532.77,3.7851,1.0,selection,2.69142,2.69142,2.4800649499352723,2.268709899870545
2019-09-03 14:30:00+00:00,2019-09-04 01:45:00+00:00,1,FVG,1542.808,4.7107,1.0,selection,-0.04246,-0.04246,-0.21228614048867472,-0.38211228097734945
2019-09-04 12:30:00+00:00,2019-09-04 17:00:00+00:00,1,NY,1538.969,3.7117,1.0,selection,2.77476,2.77476,2.5592253393323814,2.343690678664763
2019-09-04 17:15:00+00:00,2019-09-05 01:30:00+00:00,1,NY,1550.196,6.4811,1.0,selection,-1.03086,-1.03086,-1.1542958365092346,-1.2777316730184691
2019-09-12 12:30:00+00:00,2019-09-12 12:45:00+00:00,1,FVG,1517.43,3.5213,1.0,selection,-0.0568,-0.0568,-0.2839888223099424,-0.5111776446198847
2019-09-24 14:30:00+00:00,2019-09-24 16:30:00+00:00,1,FVG,1523.919,4.0768,1.0,selection,2.24318,2.24318,2.046947660910518,1.8507153218210364
2019-10-02 13:15:00+00:00,2019-10-02 14:15:00+00:00,1,FVG,1494.308,3.7058,1.0,selection,-1.05397,-1.05397,-1.2698478131577529,-1.4857256263155056
2019-10-03 14:30:00+00:00,2019-10-04 12:30:00+00:00,1,FVG,1511.83,12.8638,1.0,selection,-1.01555,-1.01555,-1.0777400216110324,-1.139930043222065
2019-10-07 14:00:00+00:00,2019-10-07 17:30:00+00:00,1,FVG,1501.946,4.8319,1.0,selection,-1.04139,-1.04139,-1.2069563403630044,-1.3725226807260085
2019-10-08 10:30:00+00:00,2019-10-08 14:45:00+00:00,1,FVG,1503.254,3.1456,1.0,selection,-0.06358,-0.06358,-0.317903499491353,-0.572226998982706
2019-10-09 12:30:00+00:00,2019-10-10 13:30:00+00:00,1,NY,1507.273,7.4843,1.0,selection,-1.02672,-1.02672,-1.133610423954144,-1.2405008479082882
2019-10-17 13:15:00+00:00,2019-10-21 18:30:00+00:00,1,NY,1490.689,7.3849,1.0,selection,-1.02708,-1.02708,-1.1354091581470298,-1.2437383162940594
2019-10-24 12:30:00+00:00,2019-10-24 12:45:00+00:00,1,FVG,1492.612,1.4479,1.0,selection,-0.13813,-0.13813,-0.6906543456039782,-1.2431786912079565
2019-10-24 13:45:00+00:00,2019-10-25 06:15:00+00:00,1,FVG,1500.144,2.7115,1.0,selection,2.22746,2.22746,1.9324203540475753,1.6373807080951504
2019-10-25 12:45:00+00:00,2019-10-25 13:30:00+00:00,1,FVG,1513.74,2.3734,1.0,selection,-0.08427,-0.08427,-0.4213391834499031,-0.7584083668998062
2019-10-25 13:45:00+00:00,2019-10-25 15:00:00+00:00,1,NY,1513.535,3.1459,1.0,selection,-1.06358,-1.06358,-1.3178792466384819,-1.5721784932769638
2019-10-30 14:00:00+00:00,2019-10-30 18:00:00+00:00,1,FVG,1492.465,2.853,1.0,selection,-1.0701,-1.0701,-1.3505065895548545,-1.6309131791097091
2019-10-31 09:15:00+00:00,2019-10-31 11:15:00+00:00,1,FVG,1503.778,1.9954,1.0,selection,1.97881,1.97881,1.5778878791219806,1.176965758243961
2019-10-31 13:00:00+00:00,2019-10-31 13:15:00+00:00,1,FVG,1508.518,2.4962,1.0,selection,-1.08012,-1.08012,-1.4006071404534892,-1.7210942809069785
2019-10-31 14:00:00+00:00,2019-10-31 15:45:00+00:00,1,FVG,1512.164,3.2456,1.0,selection,-1.06162,-1.06162,-1.308107552378605,-1.5545951047572097
2019-11-01 14:00:00+00:00,2019-11-05 06:15:00+00:00,1,FVG,1510.82,7.617,1.0,selection,-1.02626,-1.02626,-1.1312882263358277,-1.2363164526716555
2019-11-14 14:15:00+00:00,2019-11-14 15:00:00+00:00,1,NY,1468.518,1.6855,1.0,selection,-1.11866,-1.11866,-1.5932966063482645,-2.0679332126965293
2019-11-14 16:00:00+00:00,2019-11-14 23:30:00+00:00,1,NY,1469.668,2.8937,1.0,selection,-0.06912,-0.06912,-0.3455826602619484,-0.6220453205238967
2019-11-18 14:45:00+00:00,2019-11-18 15:00:00+00:00,1,FVG,1471.77,3.5183,1.0,selection,-1.05685,-1.05685,-1.2842325427052839,-1.5116150854105677
2019-11-18 17:00:00+00:00,2019-11-19 09:00:00+00:00,1,NY,1471.3,3.7435,1.0,selection,-1.05343,-1.05343,-1.2671337531721651,-1.4808375063443302
2019-11-19 14:45:00+00:00,2019-11-20 14:15:00+00:00,1,NY,1469.634,4.9329,1.0,selection,-0.04054,-0.04054,-0.20271640738713537,-0.36489281477427077
2019-11-29 15:15:00+00:00,2019-11-29 17:15:00+00:00,1,FVG,1460.36,2.4632,1.0,selection,2.07494,2.07494,1.75015922702176,1.4253784540435204
2019-12-02 14:15:00+00:00,2019-12-02 15:00:00+00:00,1,NY,1458.565,1.478,1.0,selection,2.43435,2.43435,1.8930780108254397,1.3518060216508794
2019-12-02 15:15:00+00:00,2019-12-03 12:45:00+00:00,1,NY,1460.656,3.6091,1.0,selection,2.76947,2.76947,2.5478080898284894,2.3261461796569782
2019-12-03 13:30:00+00:00,2019-12-03 14:45:00+00:00,1,NY,1473.048,2.6374,1.0,selection,2.68909,2.68909,2.3857609638280124,2.082431927656025
2019-12-03 17:00:00+00:00,2019-12-04 09:00:00+00:00,1,NY,1479.79,3.8781,1.0,selection,-1.05157,-1.05157,-1.2578565836363167,-1.4641431672726335
2019-12-05 15:00:00+00:00,2019-12-06 06:00:00+00:00,1,FVG,1477.02,3.9218,1.0,selection,-1.051,-1.051,-1.2549879647100821,-1.458975929420164
2019-12-12 13:30:00+00:00,2019-12-12 13:30:00+00:00,1,FVG,1479.034,1.9146,1.0,selection,1.94218,1.94218,1.5243381531390368,1.1064963062780737
2019-12-12 13:45:00+00:00,2019-12-12 14:30:00+00:00,1,FVG,1483.21,2.1992,1.0,selection,-0.09094,-0.09094,-0.4547086431429611,-0.8184772862859223
2019-12-19 13:45:00+00:00,2019-12-19 14:30:00+00:00,1,NY,1477.421,1.609,1.0,selection,-1.1243,-1.1243,-1.621503231821007,-2.1187064636420136
2019-12-19 14:45:00+00:00,2019-12-20 16:30:00+00:00,1,NY,1476.052,2.3996,1.0,selection,-0.08335,-0.08335,-0.4167388981496916,-0.7501277962993833
2019-12-23 14:00:00+00:00,2019-12-23 14:15:00+00:00,1,FVG,1483.558,1.2903,1.0,selection,-1.15501,-1.15501,-1.7750208501898785,-2.3950317003797568
2019-12-24 14:45:00+00:00,2019-12-24 15:15:00+00:00,1,FVG,1494.058,1.6566,1.0,selection,2.0539,2.0539,1.5709831824218279,1.0880663648436557
2019-12-24 15:30:00+00:00,2019-12-26 02:00:00+00:00,1,FVG,1497.024,2.2668,1.0,selection,2.16472,2.16472,1.8117995835539085,1.458879167107817
2019-12-26 13:30:00+00:00,2019-12-30 03:00:00+00:00,1,NY,1506.554,3.1492,1.0,selection,2.73581,2.73581,2.4817772297726406,2.2277444595452813
2019-12-30 14:30:00+00:00,2019-12-31 01:45:00+00:00,1,FVG,1514.178,3.4032,1.0,selection,2.19234,2.19234,1.957267127409497,1.722194254818994
2019-12-31 15:30:00+00:00,2019-12-31 15:45:00+00:00,1,FVG,1523.814,1.6582,1.0,selection,-1.12061,-1.12061,-1.6030608503196238,-2.0855117006392474
2020-01-02 14:00:00+00:00,2020-01-02 14:45:00+00:00,1,FVG,1528.368,2.1659,1.0,selection,-1.09234,-1.09234,-1.4617014663650216,-1.8310629327300432
2020-01-02 15:00:00+00:00,2020-01-02 16:45:00+00:00,1,NY,1526.674,2.7606,1.0,selection,-0.07245,-0.07245,-0.362242074186771,-0.652034148373542
2020-01-02 17:00:00+00:00,2020-01-03 09:15:00+00:00,1,NY,1525.758,7.413,1.0,selection,2.89316,2.89316,2.7852414784837447,2.6773229569674895
2020-01-03 14:00:00+00:00,2020-01-05 23:00:00+00:00,1,FVG,1546.632,6.6084,1.0,selection,2.34157,2.34157,2.2205119526663033,2.0994539053326067
2020-01-10 14:45:00+00:00,2020-01-13 09:00:00+00:00,1,FVG,1554.469,6.8271,1.0,selection,-1.0293,-1.0293,-1.1464800618124826,-1.2636601236249654
2020-01-14 23:15:00+00:00,2020-01-15 01:00:00+00:00,1,NY,1547.063,1.8625,1.0,selection,-0.10738,-0.10738,-0.5369102013422818,-0.9664404026845638
2020-01-15 01:15:00+00:00,2020-01-15 02:30:00+00:00,1,NY,1547.501,1.5422,1.0,selection,2.48904,2.48904,1.9703005368953446,1.4515610737906888
2020-01-15 02:45:00+00:00,2020-01-21 11:00:00+00:00,1,NY,1551.996,6.0726,1.0,selection,-0.03293,-0.03293,-0.16466928794914865,-0.2964085758982973
2020-01-22 13:30:00+00:00,2020-01-22 13:30:00+00:00,1,NY,1557.33,1.7693,1.0,selection,-1.11304,-1.11304,-1.565196219974001,-2.0173524399480023
2020-01-22 14:30:00+00:00,2020-01-22 15:00:00+00:00,1,NY,1558.316,2.184,1.0,selection,-1.09158,-1.09158,-1.4578803663003663,-1.8241807326007327
2020-01-22 16:00:00+00:00,2020-01-23 02:00:00+00:00,1,NY,1557.3,2.8048,1.0,selection,-0.07131,-0.07131,-0.3565353280091272,-0.6417606560182544
2020-01-23 13:30:00+00:00,2020-01-23 13:30:00+00:00,1,NY,1556.875,1.8865,1.0,selection,-1.10602,-1.10602,-1.5300857301881792,-1.9541514603763583
2020-01-23 14:00:00+00:00,2020-01-24 13:15:00+00:00,1,NY,1557.113,5.2661,1.0,selection,-0.03798,-0.03798,-0.189895079470576,-0.34181015894115196
2020-01-24 14:00:00+00:00,2020-01-24 15:00:00+00:00,1,FVG,1561.74,3.1769,1.0,selection,2.17043,2.17043,1.918612190185401,1.6667943803708019
2020-01-24 15:15:00+00:00,2020-01-26 23:00:00+00:00,1,FVG,1568.314,3.441,1.0,selection,2.18861,2.18861,1.9561194449288,1.7236288898575998
2020-01-29 15:15:00+00:00,2020-01-29 15:45:00+00:00,1,FVG,1573.247,3.8917,1.0,selection,-1.05139,-1.05139,-1.2569556910861577,-1.4625213821723155
2020-01-31 10:45:00+00:00,2020-01-31 11:00:00+00:00,1,FVG,1581.09,1.9981,1.0,selection,-1.10009,-1.10009,-1.5004703613432762,-1.9008507226865523
2020-01-31 15:00:00+00:00,2020-02-03 01:00:00+00:00,1,FVG,1583.232,5.0195,1.0,selection,-0.03984,-0.03984,-0.1992184241458313,-0.35859684829166255
2020-02-07 14:00:00+00:00,2020-02-11 02:00:00+00:00,1,FVG,1569.304,5.0384,1.0,selection,-0.0397,-0.0397,-0.1984805652588123,-0.35726113051762465
2020-02-11 13:30:00+00:00,2020-02-11 15:15:00+00:00,1,NY,1571.33,4.084,1.0,selection,-1.04897,-1.04897,-1.2448563858961803,-1.4407427717923604
2020-02-14 14:00:00+00:00,2020-02-14 14:00:00+00:00,1,FVG,1580.426,1.7879,1.0,selection,-1.11187,-1.11187,-1.5593223183623244,-2.006774636724649
2020-02-18 13:30:00+00:00,2020-02-18 14:30:00+00:00,1,NY,1588.982,2.3413,1.0,selection,-0.08542,-0.08542,-0.4271105138171102,-0.7688010276342203
2020-02-18 14:45:00+00:00,2020-02-18 15:15:00+00:00,1,NY,1589.216,2.8862,1.0,selection,2.71312,2.71312,2.4359389314669806,2.1587578629339617
2020-02-18 15:30:00+00:00,2020-02-19 08:00:00+00:00,1,FVG,1598.258,3.6222,1.0,selection,2.29405,2.29405,2.0731897493236153,1.8523294986472307
2020-02-20 14:00:00+00:00,2020-02-20 15:45:00+00:00,1,NY,1616.056,3.0385,1.0,selection,-0.06582,-0.06582,-0.3291078064834622,-0.5923956129669244
2020-02-20 16:00:00+00:00,2020-02-21 06:30:00+00:00,1,NY,1618.066,4.5398,1.0,selection,2.82466,2.82466,2.6484407832944186,2.4722215665888365
2020-02-21 13:30:00+00:00,2020-02-21 14:15:00+00:00,1,NY,1641.994,3.0399,1.0,selection,-1.06579,-1.06579,-1.3289565515313004,-1.5921231030626009
2020-02-21 14:30:00+00:00,2020-02-23 23:00:00+00:00,1,NY,1640.818,9.4428,1.0,selection,2.9157,2.9157,2.83097936628966,2.74625873257932
2020-02-24 14:30:00+00:00,2020-02-24 15:00:00+00:00,1,FVG,1682.795,10.6888,1.0,selection,-1.01871,-1.01871,-1.0935546972531995,-1.1683993945063993
2020-02-25 13:30:00+00:00,2020-02-25 20:45:00+00:00,1,NY,1651.752,10.6264,1.0,selection,-1.01882,-1.01882,-1.094104197846872,-1.1693883956937439
2020-03-03 15:15:00+00:00,2020-03-03 15:30:00+00:00,1,FVG,1623.762,6.8819,1.0,selection,2.34481,2.34481,2.2285630333192867,2.1123160666385736
2020-03-05 10:30:00+00:00,2020-03-05 13:15:00+00:00,1,FVG,1647.578,3.5944,1.0,selection,2.20968,2.20968,1.987111560204763,1.764543120409526
2020-03-06 10:30:00+00:00,2020-03-06 13:15:00+00:00,1,FVG,1687.323,6.1165,1.0,selection,-1.0327,-1.0327,-1.1634937545982178,-1.2942875091964359
2020-03-06 14:30:00+00:00,2020-03-06 15:15:00+00:00,1,FVG,1682.574,15.2267,1.0,selection,-1.01313,-1.01313,-1.0656692895374573,-1.1182085790749146
2020-03-10 12:30:00+00:00,2020-03-10 13:45:00+00:00,1,NY,1666.043,10.4836,1.0,selection,-1.01908,-1.01908,-1.095389664619024,-1.171699329238048
2020-03-11 02:00:00+00:00,2020-03-11 08:45:00+00:00,1,NY,1658.661,4.9051,1.0,selection,-0.04077,-0.04077,-0.20386555360746977,-0.3669611072149396
2020-03-27 13:00:00+00:00,2020-03-30 02:00:00+00:00,1,NY,1623.883,9.4583,1.0,selection,-1.02115,-1.02115,-1.105731795882981,-1.1903135917659622
2020-03-30 14:00:00+00:00,2020-03-30 17:45:00+00:00,1,FVG,1622.72,6.8666,1.0,selection,-1.02913,-1.02913,-1.145635985495005,-1.2621419709900097
2020-04-02 12:30:00+00:00,2020-04-02 14:45:00+00:00,1,FVG,1605.88,5.218,1.0,selection,-0.03833,-0.03833,-0.19164544653123802,-0.344960893062476
2020-04-02 15:00:00+00:00,2020-04-09 13:30:00+00:00,1,NY,1609.264,24.4491,1.0,selection,2.94601,2.94601,2.9132889591436903,2.8805679182873805
2020-04-09 14:00:00+00:00,2020-04-09 14:15:00+00:00,1,FVG,1683.595,7.3927,1.0,selection,-1.02705,-1.02705,-1.1352648606057327,-1.2434797212114654
