entry_ts,exit_ts,side,setup,entry,risk_price,r_1x
2020-01-02 14:00:00+00:00,2020-01-02 14:45:00+00:00,1,FVG,1528.368,2.1659,-1.09234
2020-01-02 15:00:00+00:00,2020-01-02 16:45:00+00:00,1,NY,1526.674,2.7606,-0.07245
2020-01-02 17:00:00+00:00,2020-01-03 09:15:00+00:00,1,NY,1525.758,7.413,2.89316
2020-01-03 14:00:00+00:00,2020-01-05 23:00:00+00:00,1,FVG,1546.632,6.6084,2.34157
2020-01-10 14:45:00+00:00,2020-01-13 09:00:00+00:00,1,FVG,1554.469,6.8271,-1.0293
2020-01-13 18:15:00+00:00,2020-01-14 01:15:00+00:00,-1,NY,1549.643,4.5204,2.81683
2020-01-14 03:15:00+00:00,2020-01-14 07:45:00+00:00,-1,NY,1539.904,3.0855,-1.06482
2020-01-14 23:15:00+00:00,2020-01-15 01:00:00+00:00,1,NY,1547.063,1.8625,-0.10738
2020-01-15 01:15:00+00:00,2020-01-15 02:30:00+00:00,1,NY,1547.501,1.5422,2.48904
2020-01-15 02:45:00+00:00,2020-01-21 11:00:00+00:00,1,NY,1551.996,6.0726,-0.03293
2020-01-21 11:15:00+00:00,2020-01-21 12:15:00+00:00,-1,FVG,1554.241,3.6048,-1.05548
2020-01-21 13:30:00+00:00,2020-01-21 13:30:00+00:00,-1,NY,1552.303,2.8815,-1.06941
2020-01-21 13:45:00+00:00,2020-01-21 15:15:00+00:00,-1,NY,1554.928,3.1496,-0.0635
2020-01-22 13:30:00+00:00,2020-01-22 13:30:00+00:00,1,NY,1557.33,1.7693,-1.11304
2020-01-22 14:30:00+00:00,2020-01-22 15:00:00+00:00,1,NY,1558.316,2.184,-1.09158
2020-01-22 16:00:00+00:00,2020-01-23 02:00:00+00:00,1,NY,1557.3,2.8048,-0.07131
2020-01-23 13:30:00+00:00,2020-01-23 13:30:00+00:00,1,NY,1556.875,1.8865,-1.10602
2020-01-23 14:00:00+00:00,2020-01-24 13:15:00+00:00,1,NY,1557.113,5.2661,-0.03798
2020-01-24 14:00:00+00:00,2020-01-24 15:00:00+00:00,1,FVG,1561.74,3.1769,2.17043
2020-01-24 15:15:00+00:00,2020-01-26 23:00:00+00:00,1,FVG,1568.314,3.441,2.18861
2020-01-29 15:15:00+00:00,2020-01-29 15:45:00+00:00,1,FVG,1573.247,3.8917,-1.05139
2020-01-31 10:45:00+00:00,2020-01-31 11:00:00+00:00,1,FVG,1581.09,1.9981,-1.10009
2020-01-31 15:00:00+00:00,2020-02-03 01:00:00+00:00,1,FVG,1583.232,5.0195,-0.03984
2020-02-04 02:15:00+00:00,2020-02-04 09:00:00+00:00,-1,NY,1576.319,3.4682,2.66207
2020-02-04 13:30:00+00:00,2020-02-04 14:00:00+00:00,-1,NY,1565.506,2.3612,2.64763
2020-02-04 14:15:00+00:00,2020-02-04 15:15:00+00:00,-1,FVG,1560.118,3.3436,2.18477
2020-02-04 16:15:00+00:00,2020-02-05 05:30:00+00:00,-1,NY,1555.456,5.0028,-1.03998
2020-02-06 02:30:00+00:00,2020-02-06 06:45:00+00:00,-1,NY,1554.783,3.3781,-1.0592
2020-02-06 13:45:00+00:00,2020-02-06 14:30:00+00:00,-1,FVG,1563.784,4.0267,-1.04967
2020-02-07 14:00:00+00:00,2020-02-11 02:00:00+00:00,1,FVG,1569.304,5.0384,-0.0397
2020-02-11 13:30:00+00:00,2020-02-11 15:15:00+00:00,1,NY,1571.33,4.084,-1.04897
2020-02-11 15:30:00+00:00,2020-02-11 17:00:00+00:00,-1,FVG,1567.547,2.7022,-0.07401
2020-02-14 14:00:00+00:00,2020-02-14 14:00:00+00:00,1,FVG,1580.426,1.7879,-1.11187
2020-02-18 13:30:00+00:00,2020-02-18 14:30:00+00:00,1,NY,1588.982,2.3413,-0.08542
2020-02-18 14:45:00+00:00,2020-02-18 15:15:00+00:00,1,NY,1589.216,2.8862,2.71312
2020-02-18 15:30:00+00:00,2020-02-19 08:00:00+00:00,1,FVG,1598.258,3.6222,2.29405
2020-02-20 14:00:00+00:00,2020-02-20 15:45:00+00:00,1,NY,1616.056,3.0385,-0.06582
2020-02-20 16:00:00+00:00,2020-02-21 06:30:00+00:00,1,NY,1618.066,4.5398,2.82466
2020-02-21 13:30:00+00:00,2020-02-21 14:15:00+00:00,1,NY,1641.994,3.0399,-1.06579
2020-02-21 14:30:00+00:00,2020-02-23 23:00:00+00:00,1,NY,1640.818,9.4428,2.9157
2020-02-24 14:30:00+00:00,2020-02-24 15:00:00+00:00,1,FVG,1682.795,10.6888,-1.01871
2020-02-25 13:30:00+00:00,2020-02-25 20:45:00+00:00,1,NY,1651.752,10.6264,-1.01882
2020-02-28 02:15:00+00:00,2020-02-28 08:15:00+00:00,-1,NY,1640.922,9.0001,-0.02222
2020-02-28 14:45:00+00:00,2020-02-28 15:30:00+00:00,-1,FVG,1617.788,15.6419,2.45275
2020-03-03 15:15:00+00:00,2020-03-03 15:30:00+00:00,1,FVG,1623.762,6.8819,2.34481
2020-03-05 10:30:00+00:00,2020-03-05 13:15:00+00:00,1,FVG,1647.578,3.5944,2.20968
2020-03-06 10:30:00+00:00,2020-03-06 13:15:00+00:00,1,FVG,1687.323,6.1165,-1.0327
2020-03-06 14:30:00+00:00,2020-03-06 15:15:00+00:00,1,FVG,1682.574,15.2267,-1.01313
2020-03-10 12:30:00+00:00,2020-03-10 13:45:00+00:00,1,NY,1666.043,10.4836,-1.01908
2020-03-11 02:00:00+00:00,2020-03-11 08:45:00+00:00,1,NY,1658.661,4.9051,-0.04077
2020-03-11 13:45:00+00:00,2020-03-11 18:15:00+00:00,-1,FVG,1662.263,9.3683,2.38824
2020-03-12 09:45:00+00:00,2020-03-12 12:00:00+00:00,-1,FVG,1636.107,9.8093,2.42324
2020-03-12 12:30:00+00:00,2020-03-12 13:30:00+00:00,-1,FVG,1616.172,10.2849,2.38697
2020-03-12 14:00:00+00:00,2020-03-12 15:45:00+00:00,-1,FVG,1596.99,14.0881,2.42245
2020-03-16 13:00:00+00:00,2020-03-16 14:15:00+00:00,-1,FVG,1455.685,20.9911,-1.00953
2020-03-17 10:00:00+00:00,2020-03-17 12:15:00+00:00,-1,FVG,1470.817,8.2671,-1.02419
2020-03-18 13:00:00+00:00,2020-03-18 14:00:00+00:00,-1,NY,1496.962,19.9383,-1.01003
