entry_ts,exit_ts,side,setup,entry,risk_price,r_1x
2025-01-06 14:00:00+00:00,2025-01-06 14:45:00+00:00,-1,FVG,2624.13,8.8723,-1.02254
2025-01-07 13:30:00+00:00,2025-01-07 14:15:00+00:00,1,FVG,2660.79,4.8737,-1.04104
2025-01-07 15:00:00+00:00,2025-01-07 15:00:00+00:00,1,NY,2657.475,5.0284,-1.03977
2025-01-07 15:30:00+00:00,2025-01-10 14:30:00+00:00,1,NY,2651.55,13.9332,2.9311
2025-01-14 15:30:00+00:00,2025-01-16 01:30:00+00:00,1,FVG,2671.35,11.9266,2.42747
2025-01-16 13:30:00+00:00,2025-01-17 01:00:00+00:00,1,NY,2710.56,5.4068,-0.03699
2025-01-17 01:45:00+00:00,2025-01-17 07:45:00+00:00,1,NY,2712.96,3.192,-1.06266
2025-01-17 15:00:00+00:00,2025-01-17 20:00:00+00:00,1,FVG,2711.94,9.3661,-1.02135
2025-01-20 13:30:00+00:00,2025-01-20 13:30:00+00:00,1,NY,2709.445,4.8751,-1.04102
2025-01-20 14:15:00+00:00,2025-01-20 16:15:00+00:00,1,NY,2710.775,6.3073,-1.03171
2025-01-20 16:45:00+00:00,2025-01-21 07:30:00+00:00,1,NY,2708.655,7.3165,2.84966
2025-01-21 15:00:00+00:00,2025-01-22 03:30:00+00:00,1,FVG,2738.335,5.3511,2.37759
2025-01-23 11:00:00+00:00,2025-01-23 13:15:00+00:00,1,FVG,2751.575,11.0114,-1.01816
2025-01-24 13:30:00+00:00,2025-01-24 14:15:00+00:00,1,FVG,2782.17,4.1354,-1.04836
2025-01-28 14:30:00+00:00,2025-01-28 18:30:00+00:00,1,FVG,2754.26,3.8025,2.2265
2025-01-30 10:30:00+00:00,2025-01-30 14:45:00+00:00,1,FVG,2778.255,4.6112,2.30103
2025-01-31 15:15:00+00:00,2025-01-31 15:15:00+00:00,1,FVG,2815.605,5.6043,-1.03569
2025-02-03 15:00:00+00:00,2025-02-03 15:00:00+00:00,1,FVG,2829.825,5.6943,-1.03512
2025-02-03 15:15:00+00:00,2025-02-03 15:15:00+00:00,1,FVG,2827.245,6.9889,-1.02862
2025-02-04 13:45:00+00:00,2025-02-04 14:00:00+00:00,1,FVG,2835.33,5.5196,-1.03623
2025-02-04 14:45:00+00:00,2025-02-04 16:00:00+00:00,1,FVG,2840.28,6.7755,-1.02952
2025-02-04 16:15:00+00:00,2025-02-05 07:45:00+00:00,1,NY,2837.95,8.8929,2.88305
2025-02-07 14:45:00+00:00,2025-02-07 16:30:00+00:00,1,FVG,2877.485,14.6658,-1.01364
2025-02-12 14:15:00+00:00,2025-02-13 23:15:00+00:00,1,FVG,2894.06,15.1667,2.44412
2025-02-19 13:45:00+00:00,2025-02-19 14:15:00+00:00,1,NY,2940.8,9.7729,-1.02046
2025-02-19 20:30:00+00:00,2025-02-20 07:30:00+00:00,1,NY,2934.935,5.3602,2.78732
2025-02-20 15:00:00+00:00,2025-02-21 05:00:00+00:00,1,FVG,2935.35,9.7509,-1.02051
2025-02-25 15:15:00+00:00,2025-02-25 16:00:00+00:00,-1,FVG,2927.665,14.3197,2.43226
2025-02-26 14:15:00+00:00,2025-02-26 14:45:00+00:00,-1,FVG,2896.085,6.2425,-1.03204
2025-02-27 15:00:00+00:00,2025-03-02 23:00:00+00:00,-1,FVG,2872.115,23.6999,-0.00844
2025-03-05 13:30:00+00:00,2025-03-05 14:30:00+00:00,-1,NY,2912.91,10.166,-0.01967
2025-03-05 15:00:00+00:00,2025-03-06 07:45:00+00:00,1,FVG,2911.005,9.1448,-0.02187
2025-03-07 14:45:00+00:00,2025-03-07 15:00:00+00:00,1,FVG,2920.055,3.8858,2.34495
2025-03-07 15:15:00+00:00,2025-03-07 15:30:00+00:00,1,FVG,2927.56,11.4598,-1.01745
2025-03-10 09:30:00+00:00,2025-03-10 10:15:00+00:00,1,FVG,2912.855,6.2831,-1.03183
2025-03-10 13:45:00+00:00,2025-03-11 06:30:00+00:00,-1,FVG,2902.07,14.0283,-0.01426
2025-03-11 14:00:00+00:00,2025-03-11 14:30:00+00:00,1,FVG,2918.395,6.3884,-1.03131
2025-03-12 13:00:00+00:00,2025-03-12 13:15:00+00:00,1,FVG,2917.745,8.9706,-1.02229
2025-03-12 14:15:00+00:00,2025-03-12 16:00:00+00:00,1,FVG,2916.345,7.6615,2.37111
2025-03-13 14:00:00+00:00,2025-03-13 15:00:00+00:00,1,FVG,2950.685,8.9909,2.40184
2025-03-14 10:30:00+00:00,2025-03-14 10:30:00+00:00,1,FVG,3002.61,5.1959,-1.03849
2025-03-17 09:30:00+00:00,2025-03-17 12:00:00+00:00,1,FVG,2993.13,3.912,-0.05113
2025-03-17 14:30:00+00:00,2025-03-18 12:30:00+00:00,1,FVG,2998.19,13.7639,2.4397
2025-03-20 13:00:00+00:00,2025-03-21 05:30:00+00:00,1,FVG,3041.12,15.8335,-1.01263
2025-03-24 10:30:00+00:00,2025-03-24 13:45:00+00:00,1,FVG,3032.95,12.3091,-1.01625
2025-03-25 14:00:00+00:00,2025-03-26 05:00:00+00:00,1,FVG,3029.185,15.3668,-1.01302
2025-03-27 10:15:00+00:00,2025-03-27 13:00:00+00:00,1,FVG,3046.335,5.6732,-0.03525
2025-03-27 14:30:00+00:00,2025-03-28 01:45:00+00:00,1,FVG,3050.92,8.5911,2.40746
